site,tp,param,metric,ntbi,npte,df,rsq,arsq,beta,stde,tval,pval
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_013,18,8,24,0.310445620320943,0.281714187834315,-1.3277929670953,0.403939417705688,-3.28710917750229,0.00310810829797938
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_012,18,8,24,0.276079312362506,0.24591595037761,-1.23238205749648,0.407350550378995,-3.02535999116704,0.00584239792098036
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_011,18,8,24,0.265658687049219,0.235061132342936,-1.18811866870731,0.403219167788923,-2.94658281059016,0.00704301459616013
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_010,18,8,24,0.299721323288591,0.270543045092282,-1.21156423983198,0.378022331203403,-3.20500705864404,0.00379440237707416
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_019,18,8,24,0.000774883588115684,-0.0408594962623796,0.0560549632954643,0.410886517832999,0.136424440478349,0.892623683909077
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_018,18,8,24,0.121027345120538,0.0844034845005607,-0.800632462235011,0.440426561599671,-1.81785689611235,0.0815914076915266
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_017,18,8,24,0.345060825283128,0.317771693003259,-1.19632162857825,0.336430212135026,-3.5559280511291,0.00160396535789291
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_016,18,8,24,0.400214490824371,0.375223427942053,-1.49888368499589,0.374553527352723,-4.00178766327401,0.000524533291145475
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_015,18,8,24,0.229494621247545,0.197390230466192,-1.02303204277404,0.382635444649929,-2.67364682775273,0.0132841873152065
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_014,18,8,24,0.230109403251008,0.198030628386467,-1.09871915521905,0.410230928366223,-2.67829429534917,0.0131438525440451
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_013,18,8,24,0.0386392464792401,-0.00141745158412498,-0.3645448210781,0.371171123945481,-0.982147579809161,0.335825075113841
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_012,18,8,24,0.048677134653598,0.00903868193083124,-0.477308586918553,0.430720052725906,-1.10816430277114,0.278773282250222
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_011,18,8,24,0.192264500460732,0.158608854646596,-1.00724203986815,0.421418169395999,-2.39012485226203,0.0250450913446238
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_010,18,8,24,0.455891377637008,0.43322018503855,-1.43779347183285,0.320629148319849,-4.48428809223094,0.000154149298303793
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_022,18,8,24,0.00100132850077749,-0.0406236161450235,0.0695454920284531,0.448391663642274,0.155099877333884,0.87803963628326
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_021,18,8,24,0.00230629698808602,-0.0392642739707438,-0.10010029352609,0.424982189611773,-0.235539973139892,0.815787961058428
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_020,18,8,24,0.00407426433263781,-0.037422641320169,0.132640779835555,0.423311748793351,0.313340653108841,0.756728840728457
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_023,18,8,24,0.0452120161122523,0.00542918345026278,-0.506344566271798,0.474970972073531,-1.06605370863255,0.297006862146233
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_022,18,8,24,0.0500202167486462,0.0104377257798397,-0.500262558101635,0.445017178181581,-1.12414212895286,0.272071143512273
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_021,18,8,24,0.00254604981096297,-0.0390145314469137,-0.118242145355988,0.4777268592514,-0.247509938087371,0.806618814655404
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_020,18,8,24,0.00772030098977799,-0.0336246864689813,-0.208090610403222,0.481556002029173,-0.432121309933577,0.66951094501524
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_012,18,8,24,0.112372426055237,0.0753879438075384,-0.75316286183357,0.432084602238253,-1.74309118615218,0.0941176981236434
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_011,18,8,24,0.0792731723737377,0.0409095545559767,-0.634031483442888,0.441069962323277,-1.43748506496161,0.163491418165919
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_014,18,8,24,0.0978090607007313,0.0602177715632617,-0.70253848547884,0.435536127912725,-1.61304296120211,0.119808570010713
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_013,18,8,24,0.0879556937957272,0.0499538477038824,-0.675164640924016,0.443792601480611,-1.52135172752201,0.141238853823208
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_016,18,8,24,0.20243271004728,0.169200739632584,-1.0434849739664,0.422789216019749,-2.46809742166569,0.0210968610394415
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_015,18,8,24,0.131370967378217,0.0951780910189763,-0.854702914686403,0.448618351955668,-1.90518936855901,0.0688053157074761
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_018,18,8,24,0.143999711594636,0.108333032911079,-0.909335130268092,0.45255825689526,-2.00932170922372,0.0558770180903973
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_017,18,8,24,0.102877247516523,0.0654971328297115,-0.740130934744574,0.446137986775142,-1.65897313540711,0.110134659743436
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_019,18,8,24,0.0880011045956324,0.0500011506204503,-0.721025430120352,0.473803272322724,-1.52178229286107,0.141131326062987
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_002,18,8,24,0.00722632197116157,-0.0341392479467069,-0.187532906438591,0.448681679358643,-0.417964260779837,0.679689252007012
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_001,18,8,24,0.0894166589544379,0.0514756864108729,-0.612227070887705,0.398802194254697,-1.53516475011345,0.137822470602372
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_009,18,8,24,0.277225537993388,0.247109935409779,-1.16459949649189,0.38384488634734,-3.03403676306383,0.00572282858101842
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_008,18,8,24,0.278820545509231,0.248771401572116,-1.20376271954705,0.395179634165417,-3.04611527385334,0.00556027938483683
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_007,18,8,24,0.165484347019278,0.130712861478414,-0.906429551445874,0.415496355137664,-2.18155837045923,0.0391681044684809
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_006,18,8,24,0.169043581536723,0.134420397434087,-0.930945134377846,0.421316285057588,-2.20961108648008,0.0369201367993718
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_005,18,8,24,0.168023659007397,0.133357978132705,-0.911973227143069,0.41423494873104,-2.2015844629643,0.0375511138994717
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_004,18,8,24,0.178147368460017,0.143903508812518,-0.826133957898715,0.362203066203139,-2.28085854313387,0.0317266460168872
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_010,18,8,24,0.177693793314145,0.143431034702234,-0.9363017015486,0.411141055646615,-2.27732474947327,0.0319676819294568
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_left_003,18,8,24,0.0677967735260681,0.0289549724229875,-0.53707784088865,0.406520453410185,-1.32115822557821,0.198906892296162
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_001,18,8,24,0.014159201976586,-0.0269174979410562,0.252158993587464,0.429489792585036,0.587112890552664,0.56261094350092
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_002,18,8,24,0.0251539485977836,-0.0154646368773088,0.359591112271643,0.456949558590751,0.786938307546757,0.439020301186864
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_001,18,8,24,1.73568774380937e-08,-0.041666648586586,0.000292911794205796,0.453832335460838,0.000645418519833679,0.999490365454943
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_003,18,8,24,0.054472644352559,0.0150756712005823,-0.54626090037058,0.464560537204862,-1.17586591331517,0.251181374122333
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_004,18,8,24,0.103563941544403,0.0662124391087533,-0.749290392165559,0.449986947083101,-1.66513806016507,0.108887512148132
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_002,18,8,24,0.00200355220025576,-0.0395796331247338,-0.090670489418013,0.413070809613427,-0.219503502324134,0.828114043681419
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_003,18,8,24,0.000191667172308147,-0.0414670133621791,-0.0304461565640451,0.448860473894293,-0.0678298899876295,0.946482993796928
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_005,18,8,24,0.214164740552426,0.18142160474211,-1.00883289222939,0.394462191013856,-2.557489450729,0.0172831842478001
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_004,18,8,24,0.0699337665906483,0.0311810068652586,-0.625098456536102,0.46532489125916,-1.34335916319584,0.191721150807913
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_007,18,8,24,0.0869502499003185,0.0489065103128318,-0.681220193651264,0.450602603092977,-1.51179817643153,0.14364198891548
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_006,18,8,24,0.257967548968148,0.227049530175154,-1.09041813803528,0.377499479105035,-2.88852885471634,0.0080748400272924
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_009,18,8,24,0.197816719524289,0.164392416171135,-1.0229005323842,0.420468135438255,-2.43276587729538,0.0228086597645963
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fimbria_right_008,18,8,24,0.176208482646849,0.141883836090468,-0.970164905558031,0.428188689969792,-2.26574154872347,0.0327695002458114
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_009,18,8,24,0.474144816884769,0.452234184254968,-1.35697546693391,0.291705052159676,-4.65187509399432,0.000100639512088939
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_006,18,8,24,0.0661263541713175,0.027214952261789,-0.603001953254328,0.462561910914212,-1.30361350346065,0.204732274296479
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_005,18,8,24,0.159216257611647,0.124183601678799,-0.886725744182342,0.415941394528865,-2.13185260194343,0.0434563308893034
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_008,18,8,24,0.330616976995134,0.302726017703265,-1.17160848034563,0.340291935635143,-3.44295105953325,0.00212106975552443
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,fornix_left_007,18,8,24,0.0752407166966566,0.0367090798923505,-0.537589069331421,0.38470931042355,-1.3973903276205,0.175081939632856
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_015,18,8,24,0.00304505885103955,-0.0384947303635006,0.112432556488126,0.415266009664155,0.270748276698724,0.788899543929319
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_014,18,8,24,0.0153889570333804,-0.0256365030902288,-0.269662138834608,0.440293335268733,-0.612460187865482,0.545993144640184
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_017,18,8,24,0.000433399834555505,-0.0412152085056714,-0.0479503666908614,0.470054061188479,-0.102010323173518,0.919595999838576
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_016,18,8,24,5.59211119067645e-06,-0.041660841550843,-0.00550825583203671,0.47546589293993,-0.0115849652179628,0.990852507081797
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_018,18,8,24,0.00141082376568794,-0.0401970585774085,-0.0883016980114826,0.4795351846515,-0.18414018582527,0.855450512844023
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_011,18,8,24,0.0678214080902536,0.0289806334273475,-0.499982851068274,0.378369088846469,-1.32141569120397,0.198822374625981
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,genu_020,18,8,24,0.0281936948239407,-0.0122982345583951,0.341470346876614,0.409224129794406,0.834433558568916,0.412265789641803
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_010,18,8,24,0.188097237767176,0.154267956007475,-0.845695220231682,0.358648530455822,-2.35800553582877,0.0268610693273781
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,genu_021,18,8,24,0.00335399024416605,-0.0381729268289939,-0.121731760566133,0.428339229284388,-0.284194750897569,0.778698707045502
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_013,18,8,24,0.0203989745698075,-0.0204177348231172,-0.28147318752756,0.398154710073293,-0.706944261630726,0.486409027382062
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,cing_right_012,18,8,24,0.0149349640547069,-0.0261094124430137,-0.242277890614919,0.401641448204329,-0.60321934326774,0.552021416797025
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_004,18,8,24,0.046822847191318,0.00710713249095618,-0.501177122104998,0.461576319396238,-1.08579470186113,0.288355971785135
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_005,18,8,24,0.0452151177157684,0.00543241428725871,-0.508062695521154,0.476565524076443,-1.06609200593297,0.296989902623743
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_006,18,8,24,0.129105934058411,0.0928186813108448,-0.884162033519158,0.468744089752985,-1.8862361208332,0.0714212506772385
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_007,18,8,24,0.0789095560084744,0.0405307875088274,-0.694577719930995,0.484397135042687,-1.43390137901989,0.164501728836842
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_001,18,8,24,0.12661556257764,0.0902245443517078,-0.810375636791917,0.434450133564778,-1.86529033871522,0.0744125868070642
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_002,18,8,24,0.213657670734078,0.180893407014664,-1.09364030760172,0.428267846931478,-2.55363627094028,0.0174333714596477
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_003,18,8,24,0.170073956062343,0.135493704231607,-0.950629548638127,0.428653602863759,-2.21771038966461,0.036293189430196
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_002,18,8,24,0.0443248658793951,0.00450506862436983,-0.481484295757384,0.45636038070343,-1.05505279624675,0.301907022278272
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_001,18,8,24,0.0563745438679587,0.0170568165291236,-0.54896149643135,0.4584527343958,-1.19742223187922,0.242835359304923
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_006,18,8,24,0.0794302572166165,0.0410731846006421,-0.675347419573856,0.469306952117214,-1.43903135576219,0.163057027355952
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_005,18,8,24,0.170957042192717,0.136413585617413,-0.987244259792907,0.443776209229502,-2.2246444024275,0.0357641245006985
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_004,18,8,24,0.152996172676187,0.117704346537695,-0.930893801257116,0.447092022256591,-2.08210783220566,0.0481653789300087
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_003,18,8,24,0.0508717839406029,0.0113247749381279,-0.544491481519676,0.480075372229522,-1.13417915814136,0.267921378855178
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_009,18,8,24,0.258489625208413,0.227593359592096,-1.15535092663003,0.399434298154199,-2.89246800279532,0.00800050436776727
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_008,18,8,24,0.254940317006865,0.223896163548817,-1.14103164436447,0.398169820148152,-2.86569093544034,0.00851892415328091
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,thal_right_007,18,8,24,0.13506565827866,0.0990267273736037,-0.819647629065161,0.423390068730007,-1.93591604905557,0.0647421327815029
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_008,18,8,24,0.080149377917605,0.0418222686641718,-0.679222628831071,0.469694095499167,-1.44609573622429,0.161084231045293
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_009,18,8,24,0.0836705720876279,0.0454901792579456,-0.702679750525527,0.474669432803163,-1.48035601613495,0.151787295648785
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_015,18,8,24,0.20653558887698,0.173474571746854,-0.997487285478562,0.399087408155804,-2.49942059081238,0.0196795401883366
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_016,18,8,24,0.0947324881112116,0.0570130084491787,-0.638390012472575,0.402827822190852,-1.58477140183758,0.126107883336227
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_017,18,8,24,0.0791339767542965,0.0407645591190589,-0.623547352936045,0.434190731175411,-1.43611391990801,0.163877381705635
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_018,18,8,24,0.0705532968364812,0.0318263508713346,-0.542278965626751,0.40176373013964,-1.34974594505649,0.189691988258677
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_011,18,8,24,0.176525149124575,0.142213697004765,-0.981692244762629,0.432804348790109,-2.26821252491321,0.032596932582814
Finland,9d,native.tract.bundles.along.dwi.raw.map.dti_FA_mean,ic_right_012,18,8,24,0.240071163087917,0.208407461549914,-1.15513348264363,0.419510674348574,-2.75352584159474,0.0110574625063307
